epoch,loss,acc
1,2.504058837890625,0.336970716714859
2,1.5270678997039795,0.5587798953056335
3,1.2803049087524414,0.6042170524597168
4,1.1647969484329224,0.6297749280929565
5,1.0926926136016846,0.6493709087371826
6,1.033910870552063,0.6678473353385925
7,0.9782541394233704,0.686830997467041
8,0.9287967681884766,0.7024721503257751
9,0.886435329914093,0.7162735462188721
10,0.8483797311782837,0.7283753156661987
11,0.8111556172370911,0.7407469153404236
12,0.7770741581916809,0.75130295753479
13,0.7415823936462402,0.7631242275238037
14,0.7110494375228882,0.7726821303367615
15,0.6808804869651794,0.7827013731002808
16,0.6524228453636169,0.7915902137756348
17,0.6224420666694641,0.8017011880874634
18,0.59270179271698,0.8113966584205627
19,0.565442681312561,0.8200022578239441
20,0.5410140156745911,0.827782392501831
21,0.5190709829330444,0.8344942331314087
22,0.4990713596343994,0.8415999412536621
23,0.4801194965839386,0.8477857112884521
24,0.45910462737083435,0.8544517159461975
25,0.43828174471855164,0.8613443374633789
26,0.4204733073711395,0.8663296103477478
27,0.406098335981369,0.8700793981552124
28,0.3938584327697754,0.8740665912628174
29,0.3813997507095337,0.8775034546852112
30,0.3666028678417206,0.8824753165245056
31,0.35633403062820435,0.8854319453239441
32,0.34019213914871216,0.8904038071632385
33,0.3246263861656189,0.8953189849853516
34,0.31184306740760803,0.9003393650054932
35,0.2994791269302368,0.9037627577781677
36,0.2886832654476166,0.90738844871521
37,0.2811148166656494,0.9095304012298584
38,0.2727454602718353,0.9123008847236633
39,0.2663487493991852,0.9134501218795776
40,0.2560827136039734,0.9171567559242249
41,0.24760772287845612,0.919776201248169
42,0.24311116337776184,0.9213138818740845
43,0.234741672873497,0.9237229228019714
44,0.2279929518699646,0.9258540868759155
45,0.22649124264717102,0.9258729815483093
46,0.21653901040554047,0.9297037124633789
47,0.214011549949646,0.9302108287811279
48,0.21296164393424988,0.9303403496742249
49,0.2059248834848404,0.9324930906295776
50,0.19910447299480438,0.9347834587097168
51,0.1951085329055786,0.9361079931259155
52,0.1967129409313202,0.9355037212371826
53,0.18758514523506165,0.9385548233985901
54,0.18367253243923187,0.9398712515830994
55,0.18247990310192108,0.9406266212463379
56,0.1783454865217209,0.9415923953056335
57,0.1740991324186325,0.9428117275238037
58,0.17221258580684662,0.9436237215995789
59,0.17325349152088165,0.9429951906204224
60,0.17166593670845032,0.9436722993850708
61,0.16927573084831238,0.9444870352745056
62,0.16302253305912018,0.9464886784553528
63,0.16034163534641266,0.947573184967041
64,0.16065293550491333,0.9475623965263367
65,0.15858185291290283,0.9479427337646484
66,0.1604396551847458,0.9470336437225342
67,0.15791736543178558,0.9479832053184509
68,0.15727977454662323,0.9481315612792969
69,0.15746153891086578,0.9473924040794373
70,0.15221746265888214,0.9494642615318298
71,0.1530541479587555,0.9493428468704224
72,0.15265120565891266,0.9493185877799988
73,0.15148742496967316,0.9497340321540833
74,0.15039515495300293,0.9501575231552124
75,0.15108022093772888,0.9496557712554932
76,0.1463579684495926,0.9517140984535217
77,0.14221128821372986,0.9529415369033813
78,0.14147740602493286,0.9529955387115479
79,0.14170919358730316,0.9530818462371826
80,0.14827795326709747,0.9506862759590149
81,0.15103939175605774,0.9492268562316895
82,0.14207723736763,0.9528093934059143
83,0.1371833235025406,0.9545359015464783
84,0.1377214640378952,0.9539774656295776
85,0.14037726819515228,0.9530521631240845
86,0.13958020508289337,0.9537778496742249
87,0.14886032044887543,0.9505810737609863
88,0.15033270418643951,0.9493482112884521
89,0.18998317420482635,0.9355414509773254
90,0.15114811062812805,0.949038028717041
91,0.13238154351711273,0.9564943909645081
92,0.12066914141178131,0.9610427021980286
93,0.11920389533042908,0.9607352018356323
94,0.1293039470911026,0.9569718837738037
95,0.1326150745153427,0.956022322177887
96,0.13875657320022583,0.9536348581314087
97,0.1417924016714096,0.9524937272071838
98,0.13806335628032684,0.953419029712677
99,0.13698361814022064,0.9539477825164795
100,0.13681526482105255,0.9544118046760559
101,0.13093209266662598,0.9562300443649292
